Date,Open,High,Low,Close,Adj Close,Volume
2020-03-26,2471.000000,2625.750000,2402.250000,2608.000000,2608.000000,2413913
2020-03-27,2627.750000,2634.500000,2505.250000,2524.000000,2524.000000,2320755
2020-03-29,2459.000000,2498.250000,2445.000000,2489.000000,2489.000000,6659472
2020-03-30,2459.000000,2621.750000,2445.000000,2611.250000,2611.250000,1837692
2020-03-31,2613.250000,2635.750000,2555.750000,2569.750000,2569.750000,2248012
2020-04-01,2562.000000,2562.250000,2434.250000,2448.000000,2448.000000,2091378
2020-04-02,2459.000000,2525.000000,2424.750000,2516.500000,2516.500000,2145458
2020-04-03,2513.750000,2529.500000,2449.000000,2482.750000,2482.750000,1763886
2020-04-05,null,null,null,null,null,null
2020-04-06,2485.000000,2668.500000,2484.750000,2644.500000,2644.500000,2034419
2020-04-07,2645.500000,2750.000000,2623.500000,2642.000000,2642.000000,2486524
2020-04-08,2640.500000,2752.500000,2620.750000,2735.000000,2735.000000,1920688
2020-04-09,2737.750000,2809.500000,2701.000000,2779.750000,2779.750000,2342733
2020-04-12,2811.000000,2819.500000,2717.250000,2745.000000,2745.000000,5900789
2020-04-13,2811.000000,2819.500000,2711.000000,2759.250000,2759.250000,1571402
2020-04-14,2760.000000,2846.000000,2752.500000,2843.000000,2843.000000,1716496
2020-04-15,2843.750000,2845.500000,2751.250000,2775.000000,2775.000000,1831570
2020-04-16,2767.750000,2831.500000,2746.000000,2787.500000,2787.500000,1749108
2020-04-17,2863.000000,2885.000000,2821.000000,2870.000000,2870.000000,1924019
2020-04-19,2847.000000,2853.500000,2843.250000,2847.500000,2847.500000,2642540
2020-04-20,2861.500000,2875.500000,2804.250000,2806.500000,2806.500000,1566934
2020-04-21,2807.000000,2833.250000,2717.250000,2732.000000,2732.000000,1969844
2020-04-22,2737.250000,2808.000000,2717.250000,2788.500000,2788.500000,1369529
2020-04-23,2790.500000,2836.750000,2772.750000,2780.750000,2780.750000,1703918
2020-04-24,2777.000000,2835.000000,2755.250000,2829.500000,2829.500000,1293756
2020-04-26,2824.500000,2825.000000,2812.750000,2818.750000,2818.750000,2334769
2020-04-27,2829.000000,2881.250000,2812.750000,2869.000000,2869.000000,1224445
2020-04-28,2867.750000,2913.500000,2851.000000,2867.250000,2867.250000,1614021
2020-04-29,2870.500000,2959.750000,2860.750000,2941.000000,2941.000000,1737371
2020-04-30,2956.500000,2965.000000,2878.000000,2902.500000,2902.500000,2027924
2020-05-01,2871.500000,2879.750000,2811.750000,2821.750000,2821.750000,1647259
2020-05-03,2789.000000,2797.000000,2773.000000,2776.500000,2776.500000,5184704
2020-05-04,2789.000000,2835.750000,2771.000000,2825.250000,2825.250000,1510680
2020-05-05,2827.000000,2889.750000,2824.500000,2858.250000,2858.250000,1474765
2020-05-06,2857.750000,2886.250000,2832.000000,2833.500000,2833.500000,1466641
2020-05-07,2832.000000,2895.000000,2823.000000,2880.000000,2880.000000,1494330
2020-05-08,2882.000000,2933.000000,2879.750000,2928.500000,2928.500000,1326254
2020-05-10,2920.750000,2939.000000,2916.000000,2936.000000,2936.000000,2371940
2020-05-11,2920.750000,2947.000000,2889.750000,2922.750000,2922.750000,1528302
2020-05-12,2919.250000,2939.250000,2838.000000,2852.500000,2852.500000,1824303
2020-05-13,2839.750000,2876.750000,2786.000000,2813.000000,2813.000000,2591379
2020-05-14,2820.250000,2853.750000,2760.250000,2847.000000,2847.000000,2501222
2020-05-15,2846.250000,2863.500000,2809.500000,2846.500000,2846.500000,1897194
2020-05-17,2859.750000,2873.750000,2850.000000,2870.500000,2870.500000,2388133
2020-05-18,2859.750000,2964.750000,2850.000000,2948.000000,2948.000000,1775433
2020-05-19,2945.000000,2976.250000,2914.250000,2918.750000,2918.750000,1567224
2020-05-20,2913.500000,2975.750000,2908.500000,2968.500000,2968.500000,1532404
2020-05-21,2972.250000,2973.500000,2933.000000,2937.000000,2937.000000,1608225
2020-05-22,2936.750000,2957.500000,2903.750000,2953.000000,2953.000000,1377263
2020-05-24,2965.500000,2967.750000,2962.250000,2967.500000,2967.500000,738853
2020-05-26,2948.500000,3019.750000,2947.500000,2994.500000,2994.500000,1797241
2020-05-27,2994.000000,3039.500000,2965.500000,3035.500000,3035.500000,2109332
2020-05-28,3035.000000,3065.500000,3019.500000,3038.000000,3038.000000,1881295
2020-05-29,3036.000000,3058.250000,2992.000000,3042.000000,3042.000000,2258009
2020-05-31,3029.750000,3034.750000,3008.000000,3021.500000,3021.500000,3752735
2020-06-01,3029.750000,3059.000000,3008.000000,3054.000000,3054.000000,1277803
2020-06-02,3052.750000,3079.000000,3035.000000,3077.000000,3077.000000,1458830
2020-06-03,3078.000000,3129.500000,3074.250000,3117.750000,3117.750000,1623708
2020-06-04,3117.750000,3126.750000,3087.500000,3110.500000,3110.500000,1830904
2020-06-05,3113.250000,3210.500000,3106.500000,3186.750000,3186.750000,2444330
2020-06-07,3192.500000,3211.500000,3187.500000,3209.250000,3209.250000,2494301
2020-06-08,3192.500000,3231.250000,3183.250000,3227.500000,3227.500000,1602601
2020-06-09,3227.750000,3231.000000,3190.000000,3205.500000,3205.500000,1695764
2020-06-10,3204.750000,3227.250000,3179.750000,3186.000000,3186.000000,1996065
2020-06-11,3183.750000,3188.500000,2996.250000,3010.250000,3010.250000,3528726
2020-06-12,3011.750000,3087.750000,2982.000000,3034.750000,3034.750000,2872339
2020-06-14,2992.750000,3008.750000,2980.750000,3000.750000,3000.750000,2658953
2020-06-15,2992.750000,3079.250000,2935.000000,3073.000000,3073.000000,1947459
2020-06-16,3076.250000,3167.750000,3071.250000,3128.750000,3128.750000,1377224
2020-06-17,3122.000000,3157.750000,3105.000000,3118.000000,3118.000000,610877
2020-06-18,3115.000000,3130.500000,3075.250000,3109.000000,3109.000000,373718
2020-06-19,3108.250000,3196.000000,3106.750000,3161.260010,3161.260010,1952273
2020-06-21,3040.250000,3055.750000,3027.250000,3053.250000,3053.250000,4008510
2020-06-22,3040.250000,3114.250000,3027.250000,3110.750000,3110.750000,1392325
2020-06-23,3111.750000,3145.750000,3060.000000,3118.500000,3118.500000,1528485
2020-06-24,3113.250000,3128.500000,3019.750000,3049.000000,3049.000000,2387916
2020-06-25,3046.750000,3079.500000,3005.000000,3070.750000,3070.750000,1967245
2020-06-26,3071.250000,3082.000000,2992.500000,3007.000000,3007.000000,2208418
2020-06-28,2986.250000,3004.250000,2983.500000,3002.750000,3002.750000,3532799
2020-06-29,2986.250000,3051.250000,2983.500000,3047.750000,3047.750000,1585146
2020-06-30,3046.000000,3101.250000,3030.250000,3090.250000,3090.250000,1724164
2020-07-01,3085.250000,3117.750000,3062.750000,3103.000000,3103.000000,1537321
2020-07-02,3101.750000,3156.500000,3095.500000,3129.000000,3129.000000,1552517
2020-07-05,3121.250000,3134.500000,3115.500000,3134.250000,3134.250000,1476642
